;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 23-Jan-20 23:05:58
;----------------------------------------------

;Address Opcode 	ASM
0x041D	0x0800      	MOVF       INDF, 0
0x041E	0x1903      	BTFSC      STATUS, 2
0x041F	0x2C28      	GOTO       L_Lcd_Out19
0x0420	0x0822      	MOVF       Lcd_Out_i_L0, 0
0x0421	0x0721      	ADDWF      FARG_Lcd_Out_text, 0
0x0422	0x0084      	MOVWF      FSR
0x0423	0x0800      	MOVF       INDF, 0
0x0424	0x00A7      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x0425	0x2383      	CALL       _Lcd_Chr_CP
0x0426	0x0AA2      	INCF       Lcd_Out_i_L0, 1
0x0427	0x2C1A      	GOTO       L_Lcd_Out18
L_Lcd_Out19:
0x0428	0x1412      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
L_end_Lcd_Out:
0x0429	0x0008      	RETURN
; end of _Lcd_Out
_ispisi:
0x042A	0x300A      	MOVLW      10
0x042B	0x1283      	BCF        STATUS, 5
0x042C	0x1303      	BCF        STATUS, 6
0x042D	0x00F4      	MOVWF      R4
0x042E	0x3000      	MOVLW      0
0x042F	0x00F5      	MOVWF      R4+1
0x0430	0x0833      	MOVF       _hrsS, 0
0x0431	0x00F0      	MOVWF      R0
0x0432	0x0834      	MOVF       _hrsS+1, 0
0x0433	0x00F1      	MOVWF      R0+1
0x0434	0x231A      	CALL       _Div_16x16_S
0x0435	0x3030      	MOVLW      48
0x0436	0x0770      	ADDWF      R0, 0
0x0437	0x1683      	BSF        STATUS, 5
0x0438	0x00D1      	MOVWF      _hrsS1
0x0439	0x0871      	MOVF       R0+1, 0
0x043A	0x1803      	BTFSC      STATUS, 0
0x043B	0x3E01      	ADDLW      1
0x043C	0x00D2      	MOVWF      _hrsS1+1
0x043D	0x300A      	MOVLW      10
0x043E	0x00F4      	MOVWF      R4
0x043F	0x3000      	MOVLW      0
0x0440	0x00F5      	MOVWF      R4+1
0x0441	0x1283      	BCF        STATUS, 5
0x0442	0x0833      	MOVF       _hrsS, 0
0x0443	0x00F0      	MOVWF      R0
0x0444	0x0834      	MOVF       _hrsS+1, 0
0x0445	0x00F1      	MOVWF      R0+1
0x0446	0x231A      	CALL       _Div_16x16_S
0x0447	0x0878      	MOVF       R8, 0
0x0448	0x00F0      	MOVWF      R0
0x0449	0x0879      	MOVF       R8+1, 0
0x044A	0x00F1      	MOVWF      R0+1
0x044B	0x3030      	MOVLW      48
0x044C	0x0770      	ADDWF      R0, 0
0x044D	0x1683      	BSF        STATUS, 5
0x044E	0x00D3      	MOVWF      _hrsS2
0x044F	0x0871      	MOVF       R0+1, 0
0x0450	0x1803      	BTFSC      STATUS, 0
0x0451	0x3E01      	ADDLW      1
0x0452	0x00D4      	MOVWF      _hrsS2+1
0x0453	0x3002      	MOVLW      2
0x0454	0x1283      	BCF        STATUS, 5
0x0455	0x1703      	BSF        STATUS, 6
0x0456	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x0457	0x3001      	MOVLW      1
0x0458	0x00A8      	MOVWF      FARG_Lcd_Chr_column
0x0459	0x1683      	BSF        STATUS, 5
0x045A	0x1303      	BCF        STATUS, 6
0x045B	0x0851      	MOVF       _hrsS1, 0
0x045C	0x1283      	BCF        STATUS, 5
0x045D	0x1703      	BSF        STATUS, 6
0x045E	0x00A9      	MOVWF      FARG_Lcd_Chr_out_char
0x045F	0x22E3      	CALL       _Lcd_Chr
0x0460	0x3002      	MOVLW      2
0x0461	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x0462	0x3002      	MOVLW      2
0x0463	0x00A8      	MOVWF      FARG_Lcd_Chr_column
0x0464	0x1683      	BSF        STATUS, 5
0x0465	0x1303      	BCF        STATUS, 6
0x0466	0x0853      	MOVF       _hrsS2, 0
0x0467	0x1283      	BCF        STATUS, 5
0x0468	0x1703      	BSF        STATUS, 6
0x0469	0x00A9      	MOVWF      FARG_Lcd_Chr_out_char
0x046A	0x22E3      	CALL       _Lcd_Chr
0x046B	0x3002      	MOVLW      2
0x046C	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x046D	0x3003      	MOVLW      3
0x046E	0x00A8      	MOVWF      FARG_Lcd_Chr_column
0x046F	0x303A      	MOVLW      58
0x0470	0x00A9      	MOVWF      FARG_Lcd_Chr_out_char
0x0471	0x22E3      	CALL       _Lcd_Chr
0x0472	0x300A      	MOVLW      10
0x0473	0x00F4      	MOVWF      R4
0x0474	0x3000      	MOVLW      0
0x0475	0x00F5      	MOVWF      R4+1
0x0476	0x1303      	BCF        STATUS, 6
0x0477	0x0831      	MOVF       _minsS, 0
0x0478	0x00F0      	MOVWF      R0
0x0479	0x0832      	MOVF       _minsS+1, 0
0x047A	0x00F1      	MOVWF      R0+1
0x047B	0x231A      	CALL       _Div_16x16_S
0x047C	0x3030      	MOVLW      48
0x047D	0x0770      	ADDWF      R0, 0
0x047E	0x1683      	BSF        STATUS, 5
0x047F	0x00EE      	MOVWF      _minsS1
0x0480	0x0871      	MOVF       R0+1, 0
0x0481	0x1803      	BTFSC      STATUS, 0
0x0482	0x3E01      	ADDLW      1
0x0483	0x00EF      	MOVWF      _minsS1+1
0x0484	0x300A      	MOVLW      10
0x0485	0x00F4      	MOVWF      R4
0x0486	0x3000      	MOVLW      0
0x0487	0x00F5      	MOVWF      R4+1
0x0488	0x1283      	BCF        STATUS, 5
0x0489	0x0831      	MOVF       _minsS, 0
0x048A	0x00F0      	MOVWF      R0
0x048B	0x0832      	MOVF       _minsS+1, 0
0x048C	0x00F1      	MOVWF      R0+1
0x048D	0x231A      	CALL       _Div_16x16_S
0x048E	0x0878      	MOVF       R8, 0
0x048F	0x00F0      	MOVWF      R0
0x0490	0x0879      	MOVF       R8+1, 0
0x0491	0x00F1      	MOVWF      R0+1
0x0492	0x3030      	MOVLW      48
0x0493	0x0770      	ADDWF      R0, 0
0x0494	0x1683      	BSF        STATUS, 5
0x0495	0x00EA      	MOVWF      _minsS2
0x0496	0x0871      	MOVF       R0+1, 0
0x0497	0x1803      	BTFSC      STATUS, 0
0x0498	0x3E01      	ADDLW      1
0x0499	0x00EB      	MOVWF      _minsS2+1
0x049A	0x3002      	MOVLW      2
0x049B	0x1283      	BCF        STATUS, 5
0x049C	0x1703      	BSF        STATUS, 6
0x049D	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x049E	0x3004      	MOVLW      4
0x049F	0x00A8      	MOVWF      FARG_Lcd_Chr_column
0x04A0	0x1683      	BSF        STATUS, 5
0x04A1	0x1303      	BCF        STATUS, 6
0x04A2	0x086E      	MOVF       _minsS1, 0
0x04A3	0x1283      	BCF        STATUS, 5
0x04A4	0x1703      	BSF        STATUS, 6
0x04A5	0x00A9      	MOVWF      FARG_Lcd_Chr_out_char
0x04A6	0x22E3      	CALL       _Lcd_Chr
0x04A7	0x3002      	MOVLW      2
0x04A8	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x04A9	0x3005      	MOVLW      5
0x04AA	0x00A8      	MOVWF      FARG_Lcd_Chr_column
0x04AB	0x1683      	BSF        STATUS, 5
0x04AC	0x1303      	BCF        STATUS, 6
0x04AD	0x086A      	MOVF       _minsS2, 0
0x04AE	0x1283      	BCF        STATUS, 5
0x04AF	0x1703      	BSF        STATUS, 6
0x04B0	0x00A9      	MOVWF      FARG_Lcd_Chr_out_char
0x04B1	0x22E3      	CALL       _Lcd_Chr
0x04B2	0x3002      	MOVLW      2
0x04B3	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x04B4	0x3006      	MOVLW      6
0x04B5	0x00A8      	MOVWF      FARG_Lcd_Chr_column
0x04B6	0x303A      	MOVLW      58
0x04B7	0x00A9      	MOVWF      FARG_Lcd_Chr_out_char
0x04B8	0x22E3      	CALL       _Lcd_Chr
0x04B9	0x300A      	MOVLW      10
0x04BA	0x00F4      	MOVWF      R4
0x04BB	0x3000      	MOVLW      0
0x04BC	0x00F5      	MOVWF      R4+1
0x04BD	0x1303      	BCF        STATUS, 6
0x04BE	0x0837      	MOVF       _secsS, 0
0x04BF	0x00F0      	MOVWF      R0
0x04C0	0x0838      	MOVF       _secsS+1, 0
0x04C1	0x00F1      	MOVWF      R0+1
0x04C2	0x231A      	CALL       _Div_16x16_S
0x04C3	0x3030      	MOVLW      48
0x04C4	0x0770      	ADDWF      R0, 0
0x04C5	0x1683      	BSF        STATUS, 5
0x04C6	0x00D5      	MOVWF      _secsS1
0x04C7	0x0871      	MOVF       R0+1, 0
0x04C8	0x1803      	BTFSC      STATUS, 0
0x04C9	0x3E01      	ADDLW      1
0x04CA	0x00D6      	MOVWF      _secsS1+1
0x04CB	0x300A      	MOVLW      10
0x04CC	0x00F4      	MOVWF      R4
0x04CD	0x3000      	MOVLW      0
0x04CE	0x00F5      	MOVWF      R4+1
0x04CF	0x1283      	BCF        STATUS, 5
0x04D0	0x0837      	MOVF       _secsS, 0
0x04D1	0x00F0      	MOVWF      R0
0x04D2	0x0838      	MOVF       _secsS+1, 0
0x04D3	0x00F1      	MOVWF      R0+1
0x04D4	0x231A      	CALL       _Div_16x16_S
0x04D5	0x0878      	MOVF       R8, 0
0x04D6	0x00F0      	MOVWF      R0
0x04D7	0x0879      	MOVF       R8+1, 0
0x04D8	0x00F1      	MOVWF      R0+1
0x04D9	0x3030      	MOVLW      48
0x04DA	0x0770      	ADDWF      R0, 0
0x04DB	0x1683      	BSF        STATUS, 5
0x04DC	0x00D7      	MOVWF      _secsS2
0x04DD	0x0871      	MOVF       R0+1, 0
0x04DE	0x1803      	BTFSC      STATUS, 0
0x04DF	0x3E01      	ADDLW      1
0x04E0	0x00D8      	MOVWF      _secsS2+1
0x04E1	0x3002      	MOVLW      2
0x04E2	0x1283      	BCF        STATUS, 5
0x04E3	0x1703      	BSF        STATUS, 6
0x04E4	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x04E5	0x3007      	MOVLW      7
0x04E6	0x00A8      	MOVWF      FARG_Lcd_Chr_column
0x04E7	0x1683      	BSF        STATUS, 5
0x04E8	0x1303      	BCF        STATUS, 6
0x04E9	0x0855      	MOVF       _secsS1, 0
0x04EA	0x1283      	BCF        STATUS, 5
0x04EB	0x1703      	BSF        STATUS, 6
0x04EC	0x00A9      	MOVWF      FARG_Lcd_Chr_out_char
0x04ED	0x22E3      	CALL       _Lcd_Chr
0x04EE	0x3002      	MOVLW      2
0x04EF	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x04F0	0x3008      	MOVLW      8
0x04F1	0x00A8      	MOVWF      FARG_Lcd_Chr_column
0x04F2	0x1683      	BSF        STATUS, 5
0x04F3	0x1303      	BCF        STATUS, 6
0x04F4	0x0857      	MOVF       _secsS2, 0
0x04F5	0x1283      	BCF        STATUS, 5
0x04F6	0x1703      	BSF        STATUS, 6
0x04F7	0x00A9      	MOVWF      FARG_Lcd_Chr_out_char
0x04F8	0x22E3      	CALL       _Lcd_Chr
0x04F9	0x3002      	MOVLW      2
0x04FA	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x04FB	0x3009      	MOVLW      9
0x04FC	0x00A8      	MOVWF      FARG_Lcd_Chr_column
0x04FD	0x303A      	MOVLW      58
0x04FE	0x00A9      	MOVWF      FARG_Lcd_Chr_out_char
0x04FF	0x22E3      	CALL       _Lcd_Chr
0x0500	0x3002      	MOVLW      2
0x0501	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x0502	0x300A      	MOVLW      10
0x0503	0x00A8      	MOVWF      FARG_Lcd_Chr_column
0x0504	0x3030      	MOVLW      48
0x0505	0x00A9      	MOVWF      FARG_Lcd_Chr_out_char
0x0506	0x22E3      	CALL       _Lcd_Chr
0x0507	0x3002      	MOVLW      2
0x0508	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x0509	0x300B      	MOVLW      11
0x050A	0x00A8      	MOVWF      FARG_Lcd_Chr_column
0x050B	0x3030      	MOVLW      48
0x050C	0x00A9      	MOVWF      FARG_Lcd_Chr_out_char
0x050D	0x22E3      	CALL       _Lcd_Chr
L_end_ispisi:
0x050E	0x0008      	RETURN
; end of _ispisi
_blink:
0x050F	0x3000      	MOVLW      0
0x0510	0x1283      	BCF        STATUS, 5
0x0511	0x1303      	BCF        STATUS, 6
0x0512	0x0630      	XORWF      _countT+1, 0
0x0513	0x1D03      	BTFSS      STATUS, 2
0x0514	0x2D17      	GOTO       L__blink131
0x0515	0x3002      	MOVLW      2
0x0516	0x062F      	XORWF      _countT, 0
L__blink131:
0x0517	0x1D03      	BTFSS      STATUS, 2
0x0518	0x2D28      	GOTO       L_blink6
0x0519	0x3002      	MOVLW      2
0x051A	0x1703      	BSF        STATUS, 6
0x051B	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x051C	0x081F      	MOVF       FARG_blink_pos1, 0
0x051D	0x00A8      	MOVWF      FARG_Lcd_Chr_column
0x051E	0x3020      	MOVLW      32
0x051F	0x00A9      	MOVWF      FARG_Lcd_Chr_out_char
0x0520	0x22E3      	CALL       _Lcd_Chr
0x0521	0x3002      	MOVLW      2
0x0522	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x0523	0x0821      	MOVF       FARG_blink_pos2, 0
0x0524	0x00A8      	MOVWF      FARG_Lcd_Chr_column
0x0525	0x3020      	MOVLW      32
0x0526	0x00A9      	MOVWF      FARG_Lcd_Chr_out_char
0x0527	0x22E3      	CALL       _Lcd_Chr
L_blink6:
0x0528	0x3000      	MOVLW      0
0x0529	0x1303      	BCF        STATUS, 6
0x052A	0x0630      	XORWF      _countT+1, 0
0x052B	0x1D03      	BTFSS      STATUS, 2
0x052C	0x2D2F      	GOTO       L__blink132
0x052D	0x3000      	MOVLW      0
0x052E	0x062F      	XORWF      _countT, 0
L__blink132:
0x052F	0x1D03      	BTFSS      STATUS, 2
0x0530	0x2D5A      	GOTO       L_blink7
0x0531	0x3002      	MOVLW      2
0x0532	0x1703      	BSF        STATUS, 6
0x0533	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x0534	0x081F      	MOVF       FARG_blink_pos1, 0
0x0535	0x00A8      	MOVWF      FARG_Lcd_Chr_column
0x0536	0x300A      	MOVLW      10
0x0537	0x00F4      	MOVWF      R4
0x0538	0x3000      	MOVLW      0
0x0539	0x00F5      	MOVWF      R4+1
0x053A	0x0823      	MOVF       FARG_blink_unit, 0
0x053B	0x00F0      	MOVWF      R0
0x053C	0x0824      	MOVF       FARG_blink_unit+1, 0
0x053D	0x00F1      	MOVWF      R0+1
0x053E	0x231A      	CALL       _Div_16x16_S
0x053F	0x3030      	MOVLW      48
0x0540	0x0770      	ADDWF      R0, 0
0x0541	0x1703      	BSF        STATUS, 6
0x0542	0x00A9      	MOVWF      FARG_Lcd_Chr_out_char
0x0543	0x22E3      	CALL       _Lcd_Chr
0x0544	0x3002      	MOVLW      2
0x0545	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x0546	0x0821      	MOVF       FARG_blink_pos2, 0
0x0547	0x00A8      	MOVWF      FARG_Lcd_Chr_column
0x0548	0x300A      	MOVLW      10
0x0549	0x00F4      	MOVWF      R4
0x054A	0x3000      	MOVLW      0
0x054B	0x00F5      	MOVWF      R4+1
0x054C	0x0823      	MOVF       FARG_blink_unit, 0
0x054D	0x00F0      	MOVWF      R0
0x054E	0x0824      	MOVF       FARG_blink_unit+1, 0
0x054F	0x00F1      	MOVWF      R0+1
0x0550	0x231A      	CALL       _Div_16x16_S
0x0551	0x0878      	MOVF       R8, 0
0x0552	0x00F0      	MOVWF      R0
0x0553	0x0879      	MOVF       R8+1, 0
0x0554	0x00F1      	MOVWF      R0+1
0x0555	0x3030      	MOVLW      48
0x0556	0x0770      	ADDWF      R0, 0
0x0557	0x1703      	BSF        STATUS, 6
0x0558	0x00A9      	MOVWF      FARG_Lcd_Chr_out_char
0x0559	0x22E3      	CALL       _Lcd_Chr
L_blink7:
L_end_blink:
0x055A	0x0008      	RETURN
; end of _blink
_____DoICP:
0x055B	0x1283      	BCF        STATUS, 5
0x055C	0x1703      	BSF        STATUS, 6
0x055D	0x0818      	MOVF       ___DoICPAddr+1, 0
0x055E	0x008A      	MOVWF      PCLATH
0x055F	0x0817      	MOVF       ___DoICPAddr, 0
0x0560	0x0082      	MOVWF      PCL
L_end_____DoICP:
0x0561	0x0008      	RETURN
; end of _____DoICP
_checkAlarm:
0x0562	0x1683      	BSF        STATUS, 5
0x0563	0x1303      	BCF        STATUS, 6
0x0564	0x0845      	MOVF       _hrsA+1, 0
0x0565	0x063A      	XORWF      _hrsT+1, 0
0x0566	0x1D03      	BTFSS      STATUS, 2
0x0567	0x2D6A      	GOTO       L__checkAlarm123
0x0568	0x0839      	MOVF       _hrsT, 0
0x0569	0x0644      	XORWF      _hrsA, 0
L__checkAlarm123:
0x056A	0x1D03      	BTFSS      STATUS, 2
0x056B	0x2D7B      	GOTO       L_checkAlarm0
0x056C	0x083C      	MOVF       _minsA+1, 0
0x056D	0x1283      	BCF        STATUS, 5
0x056E	0x066D      	XORWF      _minsT+1, 0
0x056F	0x1D03      	BTFSS      STATUS, 2
0x0570	0x2D74      	GOTO       L__checkAlarm124
0x0571	0x086C      	MOVF       _minsT, 0
0x0572	0x1683      	BSF        STATUS, 5
0x0573	0x063B      	XORWF      _minsA, 0
L__checkAlarm124:
0x0574	0x1D03      	BTFSS      STATUS, 2
0x0575	0x2D7B      	GOTO       L_checkAlarm1
0x0576	0x301E      	MOVLW      30
0x0577	0x1283      	BCF        STATUS, 5
0x0578	0x00B9      	MOVWF      _mode
0x0579	0x3000      	MOVLW      0
0x057A	0x00BA      	MOVWF      _mode+1
L_checkAlarm1:
L_checkAlarm0:
L_end_checkAlarm:
0x057B	0x0008      	RETURN
; end of _checkAlarm
_alarmMode:
0x057C	0x3000      	MOVLW      0
0x057D	0x1283      	BCF        STATUS, 5
0x057E	0x1303      	BCF        STATUS, 6
0x057F	0x0653      	XORWF      _alarmSET+1, 0
0x0580	0x1D03      	BTFSS      STATUS, 2
0x0581	0x2D84      	GOTO       L__alarmMode203
0x0582	0x3001      	MOVLW      1
0x0583	0x0652      	XORWF      _alarmSET, 0
L__alarmMode203:
0x0584	0x1D03      	BTFSS      STATUS, 2
0x0585	0x2DBD      	GOTO       L_alarmMode99
0x0586	0x3001      	MOVLW      1
0x0587	0x1703      	BSF        STATUS, 6
0x0588	0x00AA      	MOVWF      FARG_Lcd_Cmd_out_char
0x0589	0x2285      	CALL       _Lcd_Cmd
0x058A	0x3001      	MOVLW      1
0x058B	0x1703      	BSF        STATUS, 6
0x058C	0x009F      	MOVWF      FARG_Lcd_Out_row
0x058D	0x3001      	MOVLW      1
0x058E	0x00A0      	MOVWF      FARG_Lcd_Out_column
0x058F	0x303D      	MOVLW      ?lstr6_PicADigitalClock
0x0590	0x00A1      	MOVWF      FARG_Lcd_Out_text
0x0591	0x23E9      	CALL       _Lcd_Out
0x0592	0x1683      	BSF        STATUS, 5
0x0593	0x1303      	BCF        STATUS, 6
0x0594	0x0844      	MOVF       _hrsA, 0
0x0595	0x1283      	BCF        STATUS, 5
0x0596	0x1703      	BSF        STATUS, 6
0x0597	0x009F      	MOVWF      FARG_convert_h
0x0598	0x1683      	BSF        STATUS, 5
0x0599	0x1303      	BCF        STATUS, 6
0x059A	0x0845      	MOVF       _hrsA+1, 0
0x059B	0x1283      	BCF        STATUS, 5
0x059C	0x1703      	BSF        STATUS, 6
0x059D	0x00A0      	MOVWF      FARG_convert_h+1
0x059E	0x1683      	BSF        STATUS, 5
0x059F	0x1303      	BCF        STATUS, 6
0x05A0	0x083B      	MOVF       _minsA, 0
0x05A1	0x1283      	BCF        STATUS, 5
0x05A2	0x1703      	BSF        STATUS, 6
0x05A3	0x00A1      	MOVWF      FARG_convert_m
0x05A4	0x1683      	BSF        STATUS, 5
0x05A5	0x1303      	BCF        STATUS, 6
0x05A6	0x083C      	MOVF       _minsA+1, 0
0x05A7	0x1283      	BCF        STATUS, 5
0x05A8	0x1703      	BSF        STATUS, 6
0x05A9	0x00A2      	MOVWF      FARG_convert_m+1
0x05AA	0x01A3      	CLRF       FARG_convert_s
0x05AB	0x01A4      	CLRF       FARG_convert_s+1
0x05AC	0x30D9      	MOVLW      _text
0x05AD	0x00A5      	MOVWF      FARG_convert_output
0x05AE	0x238C      	CALL       _convert
0x05AF	0x3001      	MOVLW      1
0x05B0	0x009F      	MOVWF      FARG_Lcd_Out_row
0x05B1	0x3007      	MOVLW      7
0x05B2	0x00A0      	MOVWF      FARG_Lcd_Out_column
0x05B3	0x30D9      	MOVLW      _text
0x05B4	0x00A1      	MOVWF      FARG_Lcd_Out_text
0x05B5	0x23E9      	CALL       _Lcd_Out
0x05B6	0x3002      	MOVLW      2
0x05B7	0x009F      	MOVWF      FARG_Lcd_Out_row
0x05B8	0x3001      	MOVLW      1
0x05B9	0x00A0      	MOVWF      FARG_Lcd_Out_column
0x05BA	0x3044      	MOVLW      ?lstr7_PicADigitalClock
0x05BB	0x00A1      	MOVWF      FARG_Lcd_Out_text
0x05BC	0x23E9      	CALL       _Lcd_Out
L_alarmMode99:
0x05BD	0x3000      	MOVLW      0
0x05BE	0x1303      	BCF        STATUS, 6
0x05BF	0x0653      	XORWF      _alarmSET+1, 0
0x05C0	0x1D03      	BTFSS      STATUS, 2
0x05C1	0x2DC4      	GOTO       L__alarmMode204
0x05C2	0x3000      	MOVLW      0
0x05C3	0x0652      	XORWF      _alarmSET, 0
L__alarmMode204:
0x05C4	0x1D03      	BTFSS      STATUS, 2
0x05C5	0x2DD9      	GOTO       L_alarmMode100
0x05C6	0x3001      	MOVLW      1
0x05C7	0x1703      	BSF        STATUS, 6
0x05C8	0x00AA      	MOVWF      FARG_Lcd_Cmd_out_char
0x05C9	0x2285      	CALL       _Lcd_Cmd
0x05CA	0x3001      	MOVLW      1
0x05CB	0x1703      	BSF        STATUS, 6
0x05CC	0x009F      	MOVWF      FARG_Lcd_Out_row
0x05CD	0x3001      	MOVLW      1
0x05CE	0x00A0      	MOVWF      FARG_Lcd_Out_column
0x05CF	0x305D      	MOVLW      ?lstr8_PicADigitalClock
0x05D0	0x00A1      	MOVWF      FARG_Lcd_Out_text
0x05D1	0x23E9      	CALL       _Lcd_Out
0x05D2	0x3002      	MOVLW      2
0x05D3	0x009F      	MOVWF      FARG_Lcd_Out_row
0x05D4	0x3001      	MOVLW      1
0x05D5	0x00A0      	MOVWF      FARG_Lcd_Out_column
0x05D6	0x30A0      	MOVLW      ?lstr9_PicADigitalClock
0x05D7	0x00A1      	MOVWF      FARG_Lcd_Out_text
0x05D8	0x23E9      	CALL       _Lcd_Out
L_alarmMode100:
L_alarmMode101:
0x05D9	0x3000      	MOVLW      0
0x05DA	0x1303      	BCF        STATUS, 6
0x05DB	0x063A      	XORWF      _mode+1, 0
0x05DC	0x1D03      	BTFSS      STATUS, 2
0x05DD	0x2DE0      	GOTO       L__alarmMode205
0x05DE	0x3002      	MOVLW      2
0x05DF	0x0639      	XORWF      _mode, 0
L__alarmMode205:
0x05E0	0x1D03      	BTFSS      STATUS, 2
0x05E1	0x2DE3      	GOTO       L_alarmMode102
0x05E2	0x2DD9      	GOTO       L_alarmMode101
L_alarmMode102:
L_end_alarmMode:
0x05E3	0x0008      	RETURN
; end of _alarmMode
_stopWatchMode:
0x05E4	0x1283      	BCF        STATUS, 5
0x05E5	0x1703      	BSF        STATUS, 6
0x05E6	0x0199      	CLRF       stopWatchMode_cntSOldState_L0
0x05E7	0x019A      	CLRF       stopWatchMode_cntSOldState_L0+1
0x05E8	0x019B      	CLRF       stopWatchMode_secOldState_L0
0x05E9	0x019C      	CLRF       stopWatchMode_secOldState_L0+1
0x05EA	0x019D      	CLRF       stopWatchMode_minOldState_L0
0x05EB	0x019E      	CLRF       stopWatchMode_minOldState_L0+1
0x05EC	0x3001      	MOVLW      1
0x05ED	0x00AA      	MOVWF      FARG_Lcd_Cmd_out_char
0x05EE	0x2285      	CALL       _Lcd_Cmd
0x05EF	0x3001      	MOVLW      1
0x05F0	0x1703      	BSF        STATUS, 6
0x05F1	0x009F      	MOVWF      FARG_Lcd_Out_row
0x05F2	0x3001      	MOVLW      1
0x05F3	0x00A0      	MOVWF      FARG_Lcd_Out_column
0x05F4	0x30C6      	MOVLW      ?lstr4_PicADigitalClock
0x05F5	0x00A1      	MOVWF      FARG_Lcd_Out_text
0x05F6	0x23E9      	CALL       _Lcd_Out
0x05F7	0x1303      	BCF        STATUS, 6
0x05F8	0x01B5      	CLRF       _countS
0x05F9	0x01B6      	CLRF       _countS+1
0x05FA	0x01B7      	CLRF       _secsS
0x05FB	0x01B8      	CLRF       _secsS+1
0x05FC	0x01B1      	CLRF       _minsS
0x05FD	0x01B2      	CLRF       _minsS+1
0x05FE	0x01B3      	CLRF       _hrsS
0x05FF	0x01B4      	CLRF       _hrsS+1
0x0600	0x242A      	CALL       _ispisi
L_stopWatchMode82:
0x0601	0x3000      	MOVLW      0
0x0602	0x1303      	BCF        STATUS, 6
0x0603	0x063A      	XORWF      _mode+1, 0
0x0604	0x1D03      	BTFSS      STATUS, 2
0x0605	0x2E08      	GOTO       L__stopWatchMode188
0x0606	0x3001      	MOVLW      1
0x0607	0x0639      	XORWF      _mode, 0
L__stopWatchMode188:
0x0608	0x1D03      	BTFSS      STATUS, 2
0x0609	0x2F21      	GOTO       L_stopWatchMode83
0x060A	0x3000      	MOVLW      0
0x060B	0x0634      	XORWF      _hrsS+1, 0
0x060C	0x1D03      	BTFSS      STATUS, 2
0x060D	0x2E10      	GOTO       L__stopWatchMode189
0x060E	0x3000      	MOVLW      0
0x060F	0x0633      	XORWF      _hrsS, 0
L__stopWatchMode189:
0x0610	0x1D03      	BTFSS      STATUS, 2
0x0611	0x2E2B      	GOTO       L_stopWatchMode86
0x0612	0x3000      	MOVLW      0
0x0613	0x0632      	XORWF      _minsS+1, 0
0x0614	0x1D03      	BTFSS      STATUS, 2
0x0615	0x2E18      	GOTO       L__stopWatchMode190
0x0616	0x3000      	MOVLW      0
0x0617	0x0631      	XORWF      _minsS, 0
L__stopWatchMode190:
0x0618	0x1D03      	BTFSS      STATUS, 2
0x0619	0x2E2B      	GOTO       L_stopWatchMode86
0x061A	0x3000      	MOVLW      0
0x061B	0x0638      	XORWF      _secsS+1, 0
0x061C	0x1D03      	BTFSS      STATUS, 2
0x061D	0x2E20      	GOTO       L__stopWatchMode191
0x061E	0x3000      	MOVLW      0
0x061F	0x0637      	XORWF      _secsS, 0
L__stopWatchMode191:
0x0620	0x1D03      	BTFSS      STATUS, 2
0x0621	0x2E2B      	GOTO       L_stopWatchMode86
0x0622	0x3000      	MOVLW      0
0x0623	0x0636      	XORWF      _countS+1, 0
0x0624	0x1D03      	BTFSS      STATUS, 2
0x0625	0x2E28      	GOTO       L__stopWatchMode192
0x0626	0x3000      	MOVLW      0
0x0627	0x0635      	XORWF      _countS, 0
L__stopWatchMode192:
0x0628	0x1D03      	BTFSS      STATUS, 2
0x0629	0x2E2B      	GOTO       L_stopWatchMode86
L__stopWatchMode118:
0x062A	0x242A      	CALL       _ispisi
L_stopWatchMode86:
0x062B	0x1303      	BCF        STATUS, 6
0x062C	0x0836      	MOVF       _countS+1, 0
0x062D	0x1703      	BSF        STATUS, 6
0x062E	0x061A      	XORWF      stopWatchMode_cntSOldState_L0+1, 0
0x062F	0x1D03      	BTFSS      STATUS, 2
0x0630	0x2E34      	GOTO       L__stopWatchMode193
0x0631	0x0819      	MOVF       stopWatchMode_cntSOldState_L0, 0
0x0632	0x1303      	BCF        STATUS, 6
0x0633	0x0635      	XORWF      _countS, 0
L__stopWatchMode193:
0x0634	0x1903      	BTFSC      STATUS, 2
